tmdbId,original_title,adult,budget,imdb_id,original_language,revenue,tagline,title,release_date,runtime,overview,belongs_to_collection
862,Toy Story,0,30000000,tt0114709,en,373554033.0,,Toy Story,1995-10-30,81.0,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",Toy Story Collection
8844,Jumanji,0,65000000,tt0113497,en,262797249.0,Roll the dice and unleash the excitement!,Jumanji,1995-12-15,104.0,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",None
15602,Grumpier Old Men,0,0,tt0113228,en,0.0,Still Yelling. Still Fighting. Still Ready for Love.,Grumpier Old Men,1995-12-22,101.0,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",Grumpy Old Men Collection
31357,Waiting to Exhale,0,16000000,tt0114885,en,81452156.0,Friends are the people who let you be yourself... and never let you forget it.,Waiting to Exhale,1995-12-22,127.0,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",None
11862,Father of the Bride Part II,0,0,tt0113041,en,76578911.0,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,Father of the Bride Part II,1995-02-10,106.0,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",Father of the Bride Collection
949,Heat,0,60000000,tt0113277,en,187436818.0,A Los Angeles Crime Saga,Heat,1995-12-15,170.0,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",None
11860,Sabrina,0,58000000,tt0114319,en,0.0,You are cordially invited to the most surprising merger of the year.,Sabrina,1995-12-15,127.0,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",None
45325,Tom and Huck,0,0,tt0112302,en,0.0,The Original Bad Boys.,Tom and Huck,1995-12-22,97.0,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",None
9091,Sudden Death,0,35000000,tt0114576,en,64350171.0,Terror goes into overtime.,Sudden Death,1995-12-22,106.0,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",None
710,GoldenEye,0,58000000,tt0113189,en,352194034.0,No limits. No fears. No substitutes.,GoldenEye,1995-11-16,130.0,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,James Bond Collection
9087,The American President,0,62000000,tt0112346,en,107879496.0,Why can't the most powerful man in the world have the one thing he wants most?,The American President,1995-11-17,106.0,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",None
12110,Dracula: Dead and Loving It,0,0,tt0112896,en,0.0,,Dracula: Dead and Loving It,1995-12-22,88.0,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",None
21032,Balto,0,0,tt0112453,en,11348324.0,Part Dog. Part Wolf. All Hero.,Balto,1995-12-22,78.0,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",Balto Collection
10858,Nixon,0,44000000,tt0113987,en,13681765.0,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",Nixon,1995-12-22,192.0,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",None
1408,Cutthroat Island,0,98000000,tt0112760,en,10017322.0,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,Cutthroat Island,1995-12-22,119.0,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",None
524,Casino,0,52000000,tt0112641,en,116112375.0,No one stays at the top forever.,Casino,1995-11-22,178.0,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,None
4584,Sense and Sensibility,0,16500000,tt0114388,en,135000000.0,Lose your heart and come to your senses.,Sense and Sensibility,1995-12-13,136.0,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",None
5,Four Rooms,0,4000000,tt0113101,en,4300000.0,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms,1995-12-09,98.0,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,None
9273,Ace Ventura: When Nature Calls,0,30000000,tt0112281,en,212385533.0,New animals. New adventures. Same hair.,Ace Ventura: When Nature Calls,1995-11-10,90.0,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",Ace Ventura Collection
11517,Money Train,0,60000000,tt0113845,en,35431113.0,"Get on, or GET OUT THE WAY!",Money Train,1995-11-21,103.0,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",None
8012,Get Shorty,0,30250000,tt0113161,en,115101622.0,"The mob is tough, but it’s nothing like show business.",Get Shorty,1995-10-20,105.0,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",Chili Palmer Collection
1710,Copycat,0,0,tt0112722,en,0.0,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.",Copycat,1995-10-27,124.0,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,None
9691,Assassins,0,50000000,tt0112401,en,30303072.0,"In the shadows of life, In the business of death, One man found a reason to live...",Assassins,1995-10-06,132.0,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",None
12665,Powder,0,0,tt0114168,en,0.0,An extraordinary encounter with another human being.,Powder,1995-10-27,111.0,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",None
451,Leaving Las Vegas,0,3600000,tt0113627,en,49800000.0,I Love You... The Way You Are.,Leaving Las Vegas,1995-10-27,112.0,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",None
16420,Othello,0,0,tt0114057,en,0.0,"Envy, greed, jealousy and love.",Othello,1995-12-15,123.0,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,None
9263,Now and Then,0,12000000,tt0114011,en,27400000.0,In every woman there is the girl she left behind.,Now and Then,1995-10-20,100.0,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",None
17015,Persuasion,0,0,tt0114117,en,0.0,,Persuasion,1995-09-27,104.0,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.",None
902,La Cité des Enfants Perdus,0,18000000,tt0112682,fr,1738611.0,Where happily ever after is just a dream.,The City of Lost Children,1995-05-16,108.0,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",None
37557,摇啊摇，摇到外婆桥,0,0,tt0115012,zh,0.0,In 1930's Shanghai violence was not the problem. It was the solution.,Shanghai Triad,1995-04-30,108.0,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,None
9909,Dangerous Minds,0,0,tt0112792,en,180000000.0,She broke the rules... and changed their lives.,Dangerous Minds,1995-08-11,99.0,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",None
63,Twelve Monkeys,0,29500000,tt0114746,en,168840000.0,The future is history.,Twelve Monkeys,1995-12-29,129.0,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",None
78802,"Guillaumet, les ailes du courage",0,0,tt0114952,fr,0.0,,Wings of Courage,1996-09-18,50.0,,None
9598,Babe,0,30000000,tt0112431,en,254134910.0,A little pig goes a long way.,Babe,1995-07-18,89.0,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",Babe Collection
47018,Carrington,0,0,tt0112637,en,0.0,A Love so Unusual it has to be True,Carrington,1995-11-08,121.0,"The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector.",None
687,Dead Man Walking,0,11000000,tt0112818,en,39363635.0,,Dead Man Walking,1995-12-29,122.0,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,None
139405,Across the Sea of Time,0,0,tt0112286,en,0.0,,Across the Sea of Time,1995-10-20,51.0,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.",None
33689,It Takes Two,0,0,tt0113442,en,0.0,Two identical strangers. Two different worlds. One perfect match.,It Takes Two,1995-11-17,101.0,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",None
9603,Clueless,0,12000000,tt0112697,en,0.0,Sex. Clothes. Popularity. Is there a problem here?,Clueless,1995-07-19,97.0,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",None
34615,"Cry, the Beloved Country",0,0,tt0112749,en,676525.0,,"Cry, the Beloved Country",1995-12-15,106.0,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,None
31174,Richard III,0,0,tt0114279,en,0.0,"I can smile, and murder while I smile",Richard III,1995-12-29,104.0,Shakespeare's Play transplanted into a 1930s setting.,None
11443,Dead Presidents,0,10000000,tt0112819,en,0.0,"In this daring heist, the only color that counts is green",Dead Presidents,1995-10-06,119.0,"Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s.",None
35196,Restoration,0,19000000,tt0114272,en,0.0,,Restoration,1995-12-29,117.0,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",None
